date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2024-08-13,"Avocados, each",0.85,0.85,Aldi,each,Avocados,Fresh Produce
2024-08-13,"Baking Potatoes, 5 lb",4.29,0.858,Aldi,lb,Potatoes,Fresh Produce
2024-08-13,"Bananas, per lb",0.13,0.394,Aldi,lb,Bananas,Fresh Produce
2024-08-13,Broccoli Crowns,2.09,2.09,Aldi,lb,Broccoli,Fresh Produce
2024-08-13,"Carrots, 2 lb",1.39,0.695,Aldi,lb,Carrots,Fresh Produce
2024-08-13,Cilantro Bunch,0.65,0.65,Aldi,each,Cilantro,Fresh Produce
2024-08-13,"Fajita Flour Tortillas, 20 count",1.75,0.076,Aldi,oz,Tortillas,Grains
2024-08-13,"Flat Leaf Spinach, 8 oz",1.65,0.206,Aldi,oz,Spinach,Fresh Produce
2024-08-13,"Garlic, 3 pack",1.49,0.497,Aldi,ct,Garlic,Fresh Produce
2024-08-13,"Green Peppers, 3 pack",1.89,0.63,Aldi,ct,Bell Peppers,Fresh Produce
2024-08-13,"Italian Bread Loaf, 16 oz",4.19,0.262,Aldi,oz,Sandwich Bread,Grains
2024-08-13,Jasmine Rice,6.49,1.298,Aldi,lb,Rice,Grains
2024-08-13,"Lemons, 2 lb",3.59,1.795,Aldi,lb,Lemon,Fresh Produce
2024-08-13,"Limes, 1 lb",2.19,2.19,Aldi,lb,Lime,Fresh Produce
2024-08-13,"Organic Pink Lady Apples, 3 lb",5.29,1.763,Aldi,lb,Apples,Fresh Produce
2024-08-13,"Organic Quinoa, 16 oz",3.75,0.234,Aldi,oz,Quinoa,Grains
2024-08-13,"Panko Breadcrumbs, 8 oz",1.99,0.249,Aldi,oz,Breadcrumbs,Grains
2024-08-13,"Penne, 16 oz",1.09,0.068,Aldi,oz,Pasta,Grains
2024-08-13,"Strawberries, 1 lb",2.15,2.15,Aldi,lb,Strawberries,Fresh Produce
2024-08-13,"Tomatoes On the Vine, 24 oz",3.19,0.133,Aldi,oz,Tomatoes,Fresh Produce
2024-08-13,"White Onions, 2 lb",2.75,1.375,Aldi,lb,Onion,Fresh Produce
