date,item_name,price,price_per_unit,sale_price,store
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,"Fresh Envy Apples, 3 lb Bag",6.44,$2.15/lb,N/A,Walmart
2024-08-21,"Pitaya Foods Frozen Ripe Baked Plantain Slices for Snacks, 12oz, 1 Pouch",4.98,41.5 ¢/oz,N/A,Walmart
2024-08-21,"Cleveland Kitchen Gluten-Free Classic Kimchi, 16 oz Pouch",4.94,30.9 ¢/oz,N/A,Walmart
2024-08-21,"Del Monte Red Grapefruit in 100% Juice, 20.0 oz Bowl, Fresh Refrigerated Fruit Bowl",4.28,21.4 ¢/fl oz,N/A,Walmart
2024-08-21,"Fresh Banana Fruit, Each",0.25,N/A,0.24,Walmart
2024-08-21,Fresh Sweet Corn on the Cob (1 each),0.50,N/A,N/A,Walmart
2024-08-21,"Fresh Strawberries, 1 lb Container",2.82,17.6 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Cucumber, Each",0.72,N/A,N/A,Walmart
2024-08-21,"Fresh Roma Tomato, Each",0.27,N/A,0.21,Walmart
2024-08-21,"Fresh Hass Avocados, Each",1.08,N/A,N/A,Walmart
2024-08-21,"Del Monte Red Grapefruit in Extra Light Syrup, 52 oz. Plastic Jar",8.97,17.3 ¢/oz,N/A,Walmart
2024-08-21,Crunch Pak Grab N Go! Apple Slices Multi-Pack of 6/2 oz Individually Packaged Bags in a PET tray,4.97,41.4 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Green Bell Pepper, Each",0.86,N/A,N/A,Walmart
2024-08-21,"Fresh Seedless Watermelon, Each",5.68,N/A,N/A,Walmart
2024-08-21,"Fresh Iceberg Lettuce, Each",1.88,N/A,N/A,Walmart
2024-08-21,"Fresh Green Onions Bunch, Each",0.98,N/A,N/A,Walmart
2024-08-21,1lb Baby Peeled Carrots,1.32,8.3 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Clementines, 3 lb. Bag",4.98,$4.98,3.97,Walmart
2024-08-21,"Marketside Fresh Organic Bananas, Bunch",2.08,74.0 ¢/lb,N/A,Walmart
2024-08-21,"Fresh Lemon, Each",0.68,N/A,N/A,Walmart
2024-08-21,Crunch Pak Grab N Go! Apple Sliced Multi-Pak PET tray with  6/1.8oz Individually Packaged Bags,4.97,46.0 ¢/oz,N/A,Walmart
